Date,Time,Player_count
9/26/2023,2:05,2573977
9/26/2023,2:10,2529045
9/26/2023,2:15,2479663
9/26/2023,2:20,2431574
9/26/2023,2:25,2390462
9/26/2023,2:30,2347621
9/26/2023,2:35,2305556
9/26/2023,2:40,2260039
9/26/2023,2:45,0
9/26/2023,2:50,2148355
9/26/2023,2:55,2105269
9/26/2023,3:00,2062126
9/26/2023,3:05,2018404
9/26/2023,3:10,1973724
9/26/2023,3:15,1927023
9/26/2023,3:20,1883190
9/26/2023,3:25,1844278
9/26/2023,3:30,1808444
9/26/2023,3:35,1773379
9/26/2023,3:40,1739656
9/26/2023,3:45,1708770
9/26/2023,3:50,1680536
9/26/2023,3:55,1653524
9/26/2023,4:00,1626332
9/26/2023,4:05,1600115
9/26/2023,4:10,1574378
9/26/2023,4:15,1549916
9/26/2023,4:20,1525076
9/26/2023,4:25,1502713
9/26/2023,4:30,1481553
9/26/2023,4:35,1460377
9/26/2023,4:40,1439094
9/26/2023,4:45,1419748
9/26/2023,4:50,1401323
9/26/2023,4:55,1383994
9/26/2023,5:00,1367085
9/26/2023,5:05,1350172
9/26/2023,5:10,1332823
9/26/2023,5:15,1316149
9/26/2023,5:20,1300525
9/26/2023,5:25,1285787
9/26/2023,5:30,1271419
9/26/2023,5:35,1257871
9/26/2023,5:40,1244967
9/26/2023,5:45,1231747
9/26/2023,5:50,1220013
9/26/2023,5:55,1207941
9/26/2023,6:00,1196961
9/26/2023,6:05,1185456
9/26/2023,6:10,1173571
9/26/2023,6:15,1162238
9/26/2023,6:20,1145061
9/26/2023,6:25,1132857
9/26/2023,6:30,1124852
9/26/2023,6:35,1115854
9/26/2023,6:40,1107189
9/26/2023,6:45,1098203
9/26/2023,6:50,1089924
9/26/2023,6:55,1080763
9/26/2023,7:00,1071983
9/26/2023,7:05,1063473
9/26/2023,7:10,1054452
9/26/2023,7:15,1045006
9/26/2023,7:20,1035941
9/26/2023,7:25,1027600
9/26/2023,7:30,1019097
9/26/2023,7:35,1010856
9/26/2023,7:40,1002391
9/26/2023,7:45,994453
9/26/2023,7:50,986588
9/26/2023,7:55,978570
9/26/2023,8:00,969924
9/26/2023,8:05,960690
9/26/2023,8:10,951115
9/26/2023,8:15,940886
9/26/2023,8:20,932862
9/26/2023,8:25,924186
9/26/2023,8:30,915229
9/26/2023,8:35,905716
9/26/2023,8:40,896004
9/26/2023,8:45,886023
9/26/2023,8:50,877005
9/26/2023,8:55,867476
9/26/2023,9:00,857457
9/26/2023,9:05,847134
9/26/2023,9:10,835274
9/26/2023,9:15,821802
9/26/2023,9:20,809573
9/26/2023,9:25,797352
9/26/2023,9:30,785560
9/26/2023,9:35,773454
9/26/2023,9:40,760380
9/26/2023,9:45,746623
9/26/2023,9:50,732189
9/26/2023,9:55,717920
9/26/2023,10:00,701964
9/26/2023,10:05,683909
9/26/2023,10:10,663834
9/26/2023,10:15,635319
9/26/2023,10:20,615602
9/26/2023,10:25,603950
9/26/2023,10:30,593858
9/26/2023,10:35,584238
9/26/2023,10:40,574878
9/26/2023,10:45,565766
9/26/2023,10:50,557694
9/26/2023,10:55,550034
9/26/2023,11:00,542522
9/26/2023,11:05,534614
9/26/2023,11:10,526727
9/26/2023,11:15,516946
9/26/2023,11:20,511578
9/26/2023,11:25,510785
9/26/2023,11:30,511376
9/26/2023,11:35,513251
9/26/2023,11:40,515665
9/26/2023,11:45,519060
9/26/2023,11:50,523433
9/26/2023,11:55,528709
9/26/2023,12:00,534373
9/26/2023,12:05,539771
9/26/2023,12:10,545025
9/26/2023,12:15,550845
9/26/2023,12:20,557963
9/26/2023,12:25,566790
9/26/2023,12:30,575777
9/26/2023,12:35,585045
9/26/2023,12:40,594750
9/26/2023,12:45,604224
9/26/2023,12:50,615104
9/26/2023,12:55,626485
9/26/2023,13:00,638214
9/26/2023,13:05,650837
9/26/2023,13:10,663303
9/26/2023,13:15,674034
9/26/2023,13:20,685981
9/26/2023,13:25,699331
9/26/2023,13:30,714055
9/26/2023,13:35,728851
9/26/2023,13:40,743783
9/26/2023,13:45,758838
9/26/2023,13:50,774355
9/26/2023,13:55,790179
9/26/2023,14:00,804628
9/26/2023,14:05,818956
9/26/2023,14:10,832704
9/26/2023,14:15,845577
9/26/2023,14:20,858644
9/26/2023,14:25,871021
9/26/2023,14:30,883698
9/26/2023,14:35,895440
9/26/2023,14:40,905499
9/26/2023,14:45,917675
9/26/2023,14:50,931691
9/26/2023,14:55,946242
9/26/2023,15:00,961900
9/26/2023,15:05,978324
9/26/2023,15:10,995877
9/26/2023,15:15,1014725
9/26/2023,15:20,1038426
9/26/2023,15:25,1067366
9/26/2023,15:30,1099493
9/26/2023,15:35,1132040
9/26/2023,15:40,1163956
9/26/2023,15:45,1195357
9/26/2023,15:50,1225649
9/26/2023,15:55,1255380
9/26/2023,16:00,1283009
9/26/2023,16:05,1309164
9/26/2023,16:10,1333227
9/26/2023,16:15,1356213
9/26/2023,16:20,1380593
9/26/2023,16:25,1404335
9/26/2023,16:30,1427011
9/26/2023,16:35,1450396
9/26/2023,16:40,1472076
9/26/2023,16:45,1492656
9/26/2023,16:50,1513321
9/26/2023,16:55,1530877
9/26/2023,17:00,1547981
9/26/2023,17:05,1564455
9/26/2023,17:10,1579144
9/26/2023,17:15,1594403
9/26/2023,17:20,1611699
9/26/2023,17:25,1629595
9/26/2023,17:30,1647157
9/26/2023,17:35,1667930
9/26/2023,17:40,1687272
9/26/2023,17:45,1707733
9/26/2023,17:50,1729538
9/26/2023,17:55,1750221
9/26/2023,18:00,1770022
9/26/2023,18:05,1788544
9/26/2023,18:10,1807833
9/26/2023,18:15,1824839
9/26/2023,18:20,1841458
9/26/2023,18:25,1859693
9/26/2023,18:30,1877647
9/26/2023,18:35,1893710
9/26/2023,18:40,1908818
9/26/2023,18:45,1923874
9/26/2023,18:50,1938468
9/26/2023,18:55,1950461
9/26/2023,19:00,1961966
9/26/2023,19:05,1972557
9/26/2023,19:10,1982039
9/26/2023,19:15,1991408
9/26/2023,19:20,2000474
9/26/2023,19:25,2008429
9/26/2023,19:30,2015649
9/26/2023,19:35,2020409
9/26/2023,19:40,2022646
9/26/2023,19:45,2025001
9/26/2023,19:50,2026703
9/26/2023,19:55,2025608
9/26/2023,20:00,2021910
9/26/2023,20:05,2018526
9/26/2023,20:10,2013365
9/26/2023,20:15,2006559
9/26/2023,20:20,1999104
9/26/2023,20:25,1992828
9/26/2023,20:30,1985688
9/26/2023,20:35,1976913
9/26/2023,20:40,1967055
9/26/2023,20:45,1958549
9/26/2023,20:50,1951091
9/26/2023,20:55,1946330
9/26/2023,21:00,1940678
9/26/2023,21:05,1935248
9/26/2023,21:10,1932295
9/26/2023,21:15,1930803
9/26/2023,21:20,1932774
9/26/2023,21:25,1938571
9/26/2023,21:30,1948144
9/26/2023,21:35,1960782
9/26/2023,21:40,1975930
9/26/2023,21:45,1993510
9/26/2023,21:50,2014702
9/26/2023,21:55,2038957
9/26/2023,22:00,2064683
9/26/2023,22:05,2094267
9/26/2023,22:10,2125258
9/26/2023,22:15,2156796
9/26/2023,22:20,2191956
9/26/2023,22:25,2228217
9/26/2023,22:30,2264391
9/26/2023,22:35,2302022
9/26/2023,22:40,2340931
9/26/2023,22:45,2378723
9/26/2023,22:50,2418806
9/26/2023,22:55,2459563
9/26/2023,23:00,2498324
9/26/2023,23:05,2536340
9/26/2023,23:10,2568778
9/26/2023,23:15,2601320
9/26/2023,23:20,2634410
9/26/2023,23:25,2668378
9/26/2023,23:30,2700090
9/26/2023,23:35,2728961
9/26/2023,23:40,2753065
9/26/2023,23:45,2772019
9/26/2023,23:50,2791007
9/26/2023,23:55,2811376
9/27/2023,0:00,2825539
9/27/2023,0:05,2837721
9/27/2023,0:10,2852422
9/27/2023,0:15,2864151
9/27/2023,0:20,2877250
9/27/2023,0:25,2887896
9/27/2023,0:30,2896911
9/27/2023,0:35,2902905
9/27/2023,0:40,2906402
9/27/2023,0:45,2908618
9/27/2023,0:50,2908153
9/27/2023,0:55,2905052
9/27/2023,1:00,2896361
9/27/2023,1:05,2884967
9/27/2023,1:10,0
9/27/2023,1:15,2843331
9/27/2023,1:20,2821455
9/27/2023,1:25,2764946
9/27/2023,1:30,2762317
9/27/2023,1:35,2665133
9/27/2023,1:40,2703497
9/27/2023,1:45,2674520
9/27/2023,1:50,2644784
9/27/2023,1:55,2611738
9/27/2023,2:00,2574425
9/27/2023,2:05,2533411
9/27/2023,2:10,2486220
9/27/2023,2:15,2436324
9/27/2023,2:20,2392930
9/27/2023,2:25,2352222
9/27/2023,2:30,2312011
9/27/2023,2:35,2271082
9/27/2023,2:40,2226355
9/27/2023,2:45,2181459
9/27/2023,2:50,2139426
9/27/2023,2:55,2097329
9/27/2023,3:00,2055400
9/27/2023,3:05,2012241
9/27/2023,3:10,1966391
9/27/2023,3:15,1921587
9/27/2023,3:20,1880761
9/27/2023,3:25,1839462
9/27/2023,3:30,1796723
9/27/2023,3:35,1755933
9/27/2023,3:40,1717737
9/27/2023,3:45,1683925
9/27/2023,3:50,1654374
9/27/2023,3:55,1625115
9/27/2023,4:00,1597387
9/27/2023,4:05,1569216
9/27/2023,4:10,1544806
9/27/2023,4:15,1515099
9/27/2023,4:20,1496752
9/27/2023,4:25,1474362
9/27/2023,4:30,1454561
9/27/2023,4:35,1435082
9/27/2023,4:40,1417596
9/27/2023,4:45,1401992
9/27/2023,4:50,1387476
9/27/2023,4:55,1372160
9/27/2023,5:00,1354695
9/27/2023,5:05,1342838
9/27/2023,5:10,1328038
9/27/2023,5:15,1313124
9/27/2023,5:20,1299670
9/27/2023,5:25,1286939
9/27/2023,5:30,1274888
9/27/2023,5:35,1262877
9/27/2023,5:40,1251384
9/27/2023,5:45,1239942
9/27/2023,5:50,1229147
9/27/2023,5:55,1218313
9/27/2023,6:00,1207987
9/27/2023,6:05,1197234
9/27/2023,6:10,1186595
9/27/2023,6:15,1175848
9/27/2023,6:20,1165692
9/27/2023,6:25,1156437
9/27/2023,6:30,1146804
9/27/2023,6:35,1138191
9/27/2023,6:40,1129547
9/27/2023,6:45,1120781
9/27/2023,6:50,1112041
9/27/2023,6:55,1103585
9/27/2023,7:00,1095109
