title,type,releasedate,developer,publisher,category
VERGE:Lost chapter,game,10/1/2015,GDNomad,Infernal Dream,low_1000
Rabi-Ribi,game,1/28/2016,CreSpirit,Sekai Project,low_1000
Supreme Commander 2,game,3/1/2010,Gas Powered Games,Square Enix,low_1000
Out of the Park Baseball 17,game,3/22/2016,Out of the Park Developments,Out of the Park Developments,low_1000
Atlas Reactor,game,10/4/2016,Trion Worlds,Trion Worlds,low_1000
Osiris: New Dawn,game,9/28/2016,Fenix Fire Entertainment,Reverb Triple XP,low_1000
Planetbase,game,10/15/2015,Madruga Works,Madruga Works,low_1000
Eaten Alive,game,9/30/2015,Space Cat Studios,Back To Basics Gaming,low_1000
Risen 2 - Dark Waters,game,4/26/2012,Piranha Bytes,Deep Silver,low_1000
Endless Sky,game,10/30/2015,Michael Zahniser,Michael Zahniser,low_1000
Vikings - Wolves of Midgard,game,3/24/2017,Games Farm,Kalypso Media Digital,low_1000
LEGO MARVELs Avengers,game,1/26/2016,Travellers Tales / TT Games / Feral Interactive (Mac),Warner Bros Interactive Entertainment,low_1000
Disgaea PC,game,2/24/2016,Nippon Ichi Software,NIS America,low_1000
Lost Moon,game,9/28/2015,Thorngames,Thorngames,low_1000
Refunct,game,10/16/2015,Dominique Grieshofer,Dominique Grieshofer,low_1000
Twilight Struggle,game,4/13/2016,Playdek,Asmodee Digital,low_1000
ARK: Survival Of The Fittest,game,8/29/2017,Studio Wildcard,Studio Wildcard,low_1000
Pro Cycling Manager 2016,game,6/16/2016,Cyanide Studio,Focus Home Interactive,low_1000
Stronghold HD,game,10/21/2013,FireFly Studios,FireFly Studios,low_1000
Stronghold 2,game,,FireFly Studios,FireFly Studios,low_1000
BioShock Remastered,game,9/15/2016,2K Boston,2K,low_1000
BioShock 2 Remastered,game,9/15/2016,2K Marin,2K,low_1000
Stronghold Legends,game,9/15/2016,FireFly Studios,FireFly Studios,low_1000
Mafia,game,8/28/2002,Illusion Softworks,2K,low_1000
12 is Better Than 6,game,11/20/2015,Ink Stains Games,HypeTrain Digital,low_1000
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,game,7/18/2016,SANDLOT,D3 PUBLISHER,low_1000
Liftoff,game,9/13/2018,LuGus Studios,LuGus Studios,low_1000
HEX: Shards of Fate,game,4/19/2016,Hex Entertainment,Hex Entertainment,low_1000
Serious Sam 3: BFE,game,11/22/2011,Croteam,Devolver Digital,low_1000
Forts,game,4/19/2017,EarthWork Games,EarthWork Games,low_1000
Master of Orion 2,game,2/25/2016,SimTex,Wargaming Labs,low_1000
City of Chains,game,12/8/2015,Astronomic Games,New Reality Games,low_1000
Lup,game,4/1/2016,Leo B,Back To Basics Gaming,low_1000
STEINS;GATE,game,9/8/2016,MAGES Inc,Spike Chunsoft Co,low_1000
Danganronpa: Trigger Happy Havoc,game,2/18/2016,Spike Chunsoft Co,Spike Chunsoft Co,low_1000
Danganronpa 2: Goodbye Despair,game,4/18/2016,Spike Chunsoft Co,Spike Chunsoft Co,low_1000
Princess.Loot.Pixel.Again,game,4/15/2016,EfimovMax,EfimovMax,low_1000
Hellblade: Senuas Sacrifice,game,8/7/2017,Ninja Theory,Ninja Theory,low_1000
Skyforge,game,4/13/2017,Allods Team,Mycom,low_1000
Outlast 2,game,4/24/2017,Red Barrels,Red Barrels,low_1000
Energy Cycle,game,1/13/2016,Sometimes You,Sometimes You,low_1000
S.T.A.L.K.E.R.: Call of Pripyat,game,2/11/2010,GSC Game World,GSC Game World,low_1000
Subsistence,game,10/25/2016,ColdGames,ColdGames,low_1000
Shadow Tactics: Blades of the Shogun,game,12/6/2016,Mimimi Productions,Daedalic Entertainment,low_1000
RWBY: Grimm Eclipse,game,7/5/2016,Rooster Teeth Games,Rooster Teeth Games,low_1000
RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,game,1/23/2017,CAPCOM Co,CAPCOM Co,low_1000
Space Pirate Trainer,game,10/12/2017,I-Illusions,I-Illusions,low_1000
Starpoint Gemini Warlords,game,5/23/2017,Little Green Men Games,Iceberg Interactive,low_1000
Half-Life 2: Episode Two,game,10/10/2007,Valve,Valve,low_1000
Blackwake,game,2/24/2017,Mastfire Studios Pty Ltd,Mastfire Studios Pty Ltd,low_1000
Plantera,game,1/28/2016,VaragtP,VaragtP,low_1000
Particle Fleet: Emergence,game,9/29/2016,Knuckle Cracker,Knuckle Cracker,low_1000
Project Highrise,game,9/8/2016,SomaSim,Kasedo Games,low_1000
Invasion: Brain Craving,game,6/22/2016,New Reality Games,New Reality Games,low_1000
Our Love Will Grow,game,12/4/2015,John Wizard,John Wizard,low_1000
Little Nightmares,game,4/27/2017,Tarsier Studios,BANDAI NAMCO Entertainment,low_1000
Recursion Deluxe,game,2/12/2016,2D Heroes,2D Heroes,low_1000
Space Moth DX,game,1/22/2016,1CC Games,Black Shell Media,low_1000
HunieCam Studio,game,4/4/2016,HuniePot,HuniePot,low_1000
Fernbus Simulator,game,8/25/2016,TML-Studios,Aerosoft GmbH,low_1000
Shadowhand,game,12/7/2017,Grey Alien Games,Positech Games,low_1000
Whos Your Daddy,game,5/13/2016,Evil Tortilla Games,Evil Tortilla Games,low_1000
White Mirror,game,1/26/2016,GDNomad,Infernal Dream,low_1000
Youtubers Life,game,2/2/2017,U-Play Online,U-Play Online,low_1000
Linea,game, the Game,KHB-Soft,KHB-Soft,low_1000
Kivi,game, Toilet and Shotgun,16bit Nights,Back To Basics Gaming,low_1000
Feed and Grow: Fish,game,1/8/2016,Old B1ood,Greens sro,low_1000
Magicka,game,1/25/2011,Arrowhead Game Studios,Paradox Interactive,low_1000
AdventureQuest 3D,game,10/19/2016,Artix Entertainment,Artix Entertainment,low_1000
WolfQuest,game,3/25/2016,eduweb,eduweb,low_1000
Automobilista,game,8/24/2016,Reiza Studios,Reiza,low_1000
Aseprite,game,2/22/2016,David Capello,Igara Studio,low_1000
BlackShot: Mercenary Warfare FPS,game,5/31/2016,Vertigo Games America,Papaya Play,low_1000
Heliborne,game,10/12/2017,JetCat Games,Klabater,low_1000
Blood and Bacon,game,2/1/2016,Big Corporation,Grunge Games LTD,low_1000
Lost Lands: Mahjong,game,3/14/2016,FIVE-BN GAMES,FIVE-BN GAMES,low_1000
Galaxy Control: 3D Strategy,game,8/10/2016,FX Games Media,FX Games Media,low_1000
Governor of Poker 3,game,2/19/2016,Azerion,Azerion,low_1000
Line of Sight,game,1/31/2017,BlackSpot Entertainment,BlackSpot Entertainment,low_1000
Tricky Towers,game,8/2/2016,WeirdBeard,WeirdBeard,low_1000
Dead6hot,game,2/1/2016,Chuck Productions,New Reality Games,low_1000
Star Realms,game,3/8/2016,White Wizard Games,White Wizard Games,low_1000
GOD EATER 2 Rage Burst,game,8/29/2016,BANDAI NAMCO Studio,BANDAI NAMCO Entertainment,low_1000
LEGO STAR WARS: The Force Awakens,game,6/27/2016,Travellers Tales / TT Games / Feral Interactive (Mac),Warner Bros Interactive Entertainment,low_1000
H1Z1: Test Server,game,2/24/2016,NantG,Daybreak Game Company,low_1000
Niche - a genetics survival game,game,9/21/2017,Stray Fawn Studio,Stray Fawn Studio,low_1000
Drawful 2,game,6/20/2016,Jackbox Games,Jackbox Games,low_1000
Pinball FX3,game,9/26/2017,Zen Studios,Zen Studios,low_1000
Armored Warfare,game,11/17/2017,Obsidian Entertainment,Mycom,low_1000
GRID 2,game,5/27/2013,Codemasters Racing,Codemasters,low_1000
This Is the Police,game,8/2/2016,Weappy Studio,THQ Nordic,low_1000
Love is Blind: Mutants,game,3/15/2016,Hybriona Labs,New Reality Games,low_1000
Broken Dreams,game,2/19/2016,Mihai Morosanu,New Reality Games,low_1000
Expeditions: Viking,game,4/27/2017,Logic Artists,THQ Nordic,low_1000
Might & Magic Heroes VII Trial by Fire,game,8/4/2016,Limbic Entertainment,Ubisoft,low_1000
VA-11 Hall-A: Cyberpunk Bartender Action,game,6/21/2016,Sukeban Games,Ysbryd Games,low_1000
Spectrubes,game,3/25/2016,The Light Sword Team,The Light Sword Team,low_1000
Job Simulator,game,4/5/2016,Owlchemy Labs,Owlchemy Labs,low_1000
Overcooked,game,8/3/2016,Ghost Town Games Ltd,Team17 Digital Ltd,low_1000
Rabiez: Epidemic,game,3/4/2016,Sekerin Productions,New Reality Games,low_1000
Elements II: Hearts of Light,game,4/1/2016,Soul Catapult,New Reality Games,low_1000
Sixtieth Kilometer,game,8/25/2016,Talentplace,KishMish Games,low_1000
S.T.A.L.K.E.R.: Shadow of Chernobyl,game,3/20/2007,GSC Game World,GSC Game World,low_1000
The Lab,game,4/5/2016,Valve,Valve,low_1000
Hot,game, Horseshoes & Hand Grenades,RUST LTD,RUST LTD,low_1000
Battle Chasers: Nightwar,game,10/3/2017,Airship Syndicate,THQ Nordic,low_1000
Khan: Absolute Power,game,3/18/2016,Mirinae,Blaze Gamers,low_1000
Caveblazers,game,5/24/2017,Deadpan Games,The Yogscast,low_1000
Spellstone,game,11/14/2016,Synapse Games,Kongregate,low_1000
Airstrike HD,game,3/23/2016,Fifth Dimension Company,Fifth Dimension Company,low_1000
Cyber City 2157: The Visual Novel,game,5/4/2016,Harotobira,Sometimes You,low_1000
Twin Saga,game,9/1/2017,X-Legend,Aeria Games,low_1000
Company of Heroes - Legacy Edition,game,7/17/2007,Relic Entertainment,SEGA,low_1000
Hand of Fate 2,game,11/7/2017,Defiant Development,Defiant Development,low_1000
Warhammer 40,game,000: Dawn of War - Game of the Year Edition,Relic Entertainment,SEGA,low_1000
High Octane Drift,game,10/14/2016,Cruderocks,Cruderocks,low_1000
Dead Rising 2,game,9/27/2010,Capcom Vancouver,Capcom,low_1000
Luna Online: Reborn,game,10/17/2017,Funtime,Subagames,low_1000
Ultra Street Fighter IV,game,8/7/2014,Capcom,Capcom,low_1000
Mushroom Wars 2,game,10/6/2017,Zillion Whales,Zillion Whales,low_1000
Warhammer,game,000: Dawn of War - Dark Crusade,Relic Entertainment,SEGA,low_1000
Kingdom Rush Frontiers,game,7/25/2016,Ironhide Game Studio,Ironhide Game Studio,low_1000
Halo Wars: Definitive Edition,game,4/20/2017,Ensemble Studios,Xbox Game Studios,low_1000
Bayonetta,game,4/11/2017,PlatinumGames,SEGA,low_1000
NORTH,game,4/27/2016,Outlands,Sometimes You,low_1000
Forge of Gods (RPG),game,5/6/2016,Panoramik Inc,Panoramik Inc,low_1000
BitRay,game,4/20/2016,Riviysky,Riviysky,low_1000
Pyre,game,7/25/2017,Supergiant Games,Supergiant Games,low_1000
Darksiders Warmastered Edition,game,11/29/2016,KAIKO,THQ Nordic,low_1000
AdVenture Communist,game,8/23/2016,Hyper Hippo Games,Hyper Hippo Games,low_1000
Liveza: Death of the Earth,game,5/3/2016,Nikita Nefedov,Sometimes You,low_1000
Farnham Fables,game,6/20/2016,Ethrea Dreams,Sometimes You,low_1000
State of Anarchy,game,4/27/2016,Lapovich,New Reality Games,low_1000
Dungeon of Zolthan,game,5/11/2016,Robert Alvarez,New Reality Games,low_1000
Puzzle Galaxies,game,4/29/2016,Evermore Game Studios,Sometimes You,low_1000
Syberia 3,game,11/13/2017,Microids,Microids,low_1000
Screeps,game,11/16/2016,Screeps,Screeps,low_1000
Serious Sam VR: The Last Hope,game,9/20/2017,Croteam VR,Devolver Digital,low_1000
GODs DEATH,game,5/11/2016,Marco Tancredi,Marco Tancredi,low_1000
Worm.is: The Game,game,5/4/2016,Freakinware Studios,Freakinware Studios,low_1000
Fall of Civilization,game,9/19/2016,Luke Dodds,New Reality Games,low_1000
Rising Runner,game,6/10/2016,Magicbane,Magicbane,low_1000
Escape This,game,5/4/2016,Four Winged Studio,Four Winged Studio,low_1000
Approaching Blocks,game,6/3/2016,Dymchick1,Dymchick1,low_1000
Home Behind,game,6/2/2016,TPP Studio,TPP Studio,low_1000
Ultimate Fishing Simulator,game,8/30/2018,Bit Golem,Ultimate Games SA,low_1000
Super Mega Neo Pug,game,5/11/2016,SnowFlame,Back To Basics Gaming,low_1000
UNO,game,1/3/2017,Ubisoft Entertainment,Ubisoft Entertainment,low_1000
Seven: The Days Long Gone,game,12/1/2017,IMGNPRO / Fools Theory,IMGNPRO,low_1000
Nine Parchments,game,12/5/2017,Frozenbyte,Frozenbyte,low_1000
Stronghold 3,game,5/25/2012,FireFly Studios,FireFly Studios,low_1000
Reigns,game,8/11/2016,Nerial,Devolver Digital,low_1000
Beholder,game,11/9/2016,Warm Lamp Games,Alawar Premium,low_1000
Picross Touch,game,8/24/2016,Jon Gallant,jgallant,low_1000
Ride 2,game,10/7/2016,Milestone Srl,Milestone Srl,low_1000
Dead Space 2,game,1/27/2011,Visceral Games,Electronic Arts,low_1000
Need for Speed: Hot Pursuit,game,12/14/2010,Criterion Games,Electronic Arts,low_1000
LIMBO,game,8/2/2011,Playdead,Playdead,low_1000
Hide and Shriek,game,10/19/2017,Funcom,Funcom,low_1000
Yu-Gi-Oh! Legacy of the Duelist,game,12/7/2016,Other Ocean Interactive,Konami Digital Entertainment,low_1000
Night in the Woods,game,2/21/2017,Infinite Fall,Finji,low_1000
Assassins Creed Brotherhood,game,3/17/2011,Ubisoft Montreal,Ubisoft,low_1000
Might & Magic: Heroes VI,game,10/13/2011,Blackhole,Ubisoft,low_1000
Anno 2070,game,11/17/2011,Blue Byte,Ubisoft,low_1000
Hero Zero,game,7/5/2016,Playata GmbH,European Games Group AG,low_1000
Autobahn Police Simulator 2,game,12/7/2017,Z-Software,Aerosoft GmbH,low_1000
Aven Colony,game,7/25/2017,Mothership Entertainment LLC,Team17 Digital Ltd,low_1000
Cossacks: Back to War,game,9/2/2010,GSC Game World,GSC World Publishing,low_1000
Machine Made: Rebirth,game,10/10/2017,Proteus Studios,Sometimes You,low_1000
Radical Spectrum: Volume 1,game,7/8/2016,Autonomic Interactive,New Reality Games,low_1000
Meadow,game,10/26/2016,Might and Delight,Might and Delight,low_1000
Tales of Destruction,game,7/14/2016,Tero Lunkka,Tero Lunkka,low_1000
Citadel: Forged With Fire,game,7/26/2017,Blue Isle Studios,Blue Isle Studios,low_1000
Minion Masters,game,12/2/2016,BetaDwarf,BetaDwarf,low_1000
Notruf 112,game,11/9/2016,Crenetic GmbH Studios,Aerosoft GmbH,low_1000
Reset 1-1,game,8/30/2016,Panda Indie Studio,New Reality Games,low_1000
Natural Selection 2,game,10/30/2012,Unknown Worlds Entertainment,Unknown Worlds Entertainment,low_1000
A-Train PC Classic / ????A??????PC,game,12/13/2016,ARTDINK,STUDIOARTDINK,low_1000
Ragnarok Clicker,game,8/3/2016,Playsaurus,Gravity Interactive,low_1000
City Car Driving,game,11/3/2016,Forward Development,Forward Global Group,low_1000
HardCube,game,6/30/2016,LEVER Software,LEVER Software,low_1000
Marvel vs. Capcom: Infinite,game,9/19/2017,Capcom,Capcom,low_1000
Dungeons 3,game,10/13/2017,Realmforge Studios,Kalypso Media Digital,low_1000
Disgaea 2 PC,game,1/30/2017,Nippon Ichi Software,NIS America,low_1000
Hexoscope,game,8/10/2016,Studio Binokle,Sometimes You,low_1000
Onward,game,8/29/2016,Downpour Interactive,Downpour Interactive,low_1000
Kingdom: New Lands,game,8/9/2016,Noio,Raw Fury,low_1000
SweatShop,game,7/22/2016,DUCK,Sometimes You,low_1000
Adventures On The Polluted Islands,game,2/17/2017,Uncle Frost Team,Sometimes You,low_1000
Batman - The Telltale Series,game,8/2/2016,Telltale Games,Telltale Games,low_1000
Half-Life: Opposing Force,game,11/1/1999,Gearbox Software,Valve,low_1000
Get The Gems,game,11/11/2016,PSY LABS,PSY LABS,low_1000
What Remains of Edith Finch,game,4/24/2017,Giant Sparrow,Annapurna Interactive,low_1000
Warhammer,game,000: Sanctus Reach,Straylight Entertainment,Slitherine Ltd,low_1000
SENRAN KAGURA ESTIVAL VERSUS,game,3/17/2017,Tamsoft,XSEED Games,low_1000
Spec Ops: The Line,game,6/28/2012,YAGER,2K,low_1000
911 Operator,game,2/24/2017,Jutsu Games,Games Operators,low_1000
A Detectives Novel,game,7/28/2016,Amaterasu Software,Amaterasu Software,low_1000
Planet Nomads,game,5/25/2017,Craneballs,Craneballs,low_1000
Foxhole,game,7/27/2017,Clapfoot,Clapfoot,low_1000
The Wizards Lair,game,8/3/2016,Magicbane,Magicbane,low_1000
Gone In November,game,8/18/2016,Florastamine,Sometimes You,low_1000
Vindictive Drive,game,5/15/2017,Secret Society Games,Sometimes You,low_1000
Ashes of the Singularity: Escalation,game,11/10/2016,Stardock Entertainment,Stardock Entertainment,low_1000
Spikit,game,8/9/2016,Blastoid Entertainment,Back To Basics Gaming,low_1000
Lethal Brutal Racing,game,8/5/2016,Petrodiy-Games,Atriagames,low_1000
NightmareZ,game,9/8/2016,Anamik Majumdar,Anamik Majumdar,low_1000
WWE 2K17,game,2/6/2017,Visual Concepts / Yukes Co,2K,low_1000
Soccer Manager 2017,game,9/16/2016,Soccer Manager Ltd,Soccer Manager Ltd,low_1000
Big Bang Empire,game,8/23/2016,Playata GmbH,European Games Group AG,low_1000
Fate/EXTELLA,game,7/25/2017,Marvelous Inc,XSEED Games,low_1000
Box Maze,game,3/3/2017,GamersHype Productions,GamersHype Productions,low_1000
The Pirate: Caribbean Hunt,game,8/24/2016,Home Net Games,Home Net Games,low_1000
Streets of Rogue,game,3/10/2017,Matt Dabrowski,tinyBuild,low_1000
So Many Cubes,game,10/6/2016,exagongames,NewRealityGames,low_1000
BitMaster,game,10/12/2016,Vladimir Shlapak,Sometimes You,low_1000
Hyper color ball,game,9/2/2016,Czester16,Back To Basics Gaming,low_1000
Warriors of Vilvatikta,game,8/26/2016,RPG Video,Back To Basics Gaming,low_1000
Caesar 3,game,8/29/2016,Impressions Games,Activision,low_1000
Aim Hero,game,9/5/2016,ProGames Studio,ProGames Studio,low_1000
Next Day: Survival,game,5/21/2018,SOFF Games,Last Level,low_1000
GUILTY GEAR Xrd -REVELATOR-,game,12/14/2016,Arc System Works,Arc System Works,low_1000
Mahjong World Contest,game,10/7/2016,Creobit,8Floor,low_1000
Fairy Fencer F Advent Dark Force,game,2/14/2017,IDEA FACTORY,Idea Factory International,low_1000
RutonyChat,game,9/19/2016,Rutony Studio,Rutony Studio,low_1000
Starship Annihilator,game,9/2/2016,IR Studio,IR Studio,low_1000
.hack//G.U. Last Recode,game,11/3/2017,CyberConnect2,BANDAI NAMCO Entertainment,low_1000
Pro Cycling Manager 2017,game,6/15/2017,Cyanide Studio,Focus Home Interactive,low_1000
The Wild Eight,game,2/8/2017,HypeTrain Digital,HypeTrain Digital,low_1000
For The King,game,4/19/2018,IronOak Games,Curve Digital,low_1000
Warhammer,game,000: Inquisitor - Martyr,NeocoreGames,NeocoreGames,low_1000
Russian SuperHero Dead Ivan,game,10/19/2016,Anatoliy Loginovskikh,Sometimes You,low_1000
WAR CUBE,game,9/12/2016,Artur Rezende,Artur Rezende,low_1000
Solitaire Beach Season,game,10/10/2016,Creobit,8Floor,low_1000
Soulless: Ray Of Hope,game,10/18/2016,Frisky Fatal Games,Meridian4,low_1000
Operation: New Earth,game,12/14/2016,Hunted Cow Studios,Hunted Cow Studios,low_1000
Train Sim World: CSX Heavy Haul,game,3/16/2017,Dovetail Games,Dovetail Games - TSW,low_1000
Argo,game,6/22/2017,Bohemia Interactive,Bohemia Interactive,low_1000
Dream Dealer,game,10/1/2016,Eternity Studios,Eternity Studios,low_1000
Super LOH,game,12/7/2016,CharlieH,CharlieH,low_1000
Zombie Defense,game,9/30/2016,Home Net Games,Home Net Games,low_1000
Domina,game,4/3/2017,DolphinBarn,DolphinBarn,low_1000
Save Home,game,9/30/2016,BadWolf Games,BadWolf Games,low_1000
The Walking Dead: A New Frontier,game,12/20/2016,Telltale Games,Skybound Games,low_1000
Bomber Crew,game,10/19/2017,Runner Duck,Curve Digital,low_1000
The Legend of Heroes: Trails of Cold Steel,game,8/2/2017,Nihon Falcom,XSEED Games,low_1000
Citalis,game,11/3/2016,Matt Hooper,Sometimes You,low_1000
Crab Dub,game,1/19/2017,Anatoliy Loginovskikh,Sometimes You,low_1000
Cold Waters,game,6/5/2017,Killerfish Games,Killerfish Games,low_1000
Slingshot people,game,10/21/2016,StalkerAlex,StalkerAlex,low_1000
Plankton,game,10/27/2016,PanGuoJun,PanGuoJun,low_1000
Dead Rising 4,game,3/14/2017,Capcom Game Studio Vancouver,Capcom,low_1000
Battlestar Galactica Deadlock,game,8/31/2017,Black Lab Games,Slitherine Ltd,low_1000
Catan Universe,game,4/25/2017,Exozet,United Soft Media,low_1000
Operation Breakout,game,10/28/2016,SGTTB_Studios,SGTTB_Studios,low_1000
Above - VR,game,11/1/2016,Sachonski,Patagoniart,low_1000
Guild Quest,game,1/26/2017,Hyper Hippo Games,Hyper Hippo Games,low_1000
Front Office Football Eight,game,11/23/2016,Solecismic Software,Solecismic Software,low_1000
Space Beret,game,10/25/2016,Amaterasu Software,Amaterasu Software,low_1000
MX vs. ATV Reflex,game,11/26/2010,Double Helix Games,THQ Nordic,low_1000
Warhammer,game,000: Space Marine,Relic,SEGA,low_1000
Brick Rigs,game,11/7/2016,Lukas Rustemeyer,Lukas Rustemeyer,low_1000
Puzzle Pirates: Dark Seas,game,7/6/2018,Grey Havens,Grey Havens,low_1000
The Sexy Brutale,game,4/11/2017,Cavalier Game Studios,Tequila Works,low_1000
WORLD OF FINAL FANTASY,game,11/21/2017,Square Enix,Square Enix,low_1000
ICEY,game,11/17/2016,FantaBlade Network,XD Network Inc,low_1000
Dark Egypt,game,2/7/2017,GDNomad,Infernal Dream,low_1000
Atom Fishing II,game,11/29/2016,Woolf,R-Age,low_1000
Art of War: Red Tides,game,12/22/2016,Game Science,Game Science,low_1000
Witch It,game,5/31/2017,Barrel Roll Games,Daedalic Entertainment,low_1000
Cricket Captain 2017,game,7/6/2017,Childish Things,KISS ltd,low_1000
Tanki Online,game,3/2/2017,Tanki Online Ltd,APL Publishing Ltd,low_1000
Alien Hostage,game,10/1/2018,Four Winged Studio,Four Winged Studio,low_1000
KORABLIK,game,2/14/2017,Nuked Games,!Lim studio,low_1000
Desolate Wastes: Vendor Chronicles,game,7/21/2017,Rotatipyra,New Reality Games,low_1000
Alien Swarm: Reactive Drop,game,4/20/2017,Reactive Drop Team,Reactive Drop Team,low_1000
Warhammer,game,000: Dawn of War II - Retribution,Relic Entertainment,SEGA,low_1000
Fire Pro Wrestling World,game,12/18/2017,Spike Chunsoft Co Ltd,Spike Chunsoft Co,low_1000
Serious Sam Fusion 2017 (beta),game,,Croteam,Devolver Digital,low_1000
Pharaoh + Cleopatra,game,12/15/2016,Impressions Games,Activision,low_1000
Cargo Cult: ShootnLoot VR,game,12/8/2016,Panoramik Inc,Panoramik Inc,low_1000
Tomato Way,game,12/7/2016,VladCastillo,VladCastillo,low_1000
Danganronpa V3: Killing Harmony,game,9/25/2017,Spike Chunsoft Co,Spike Chunsoft Co,low_1000
Lobotomy Corporation,game,4/9/2018,Project Moon,Project Moon,low_1000
Force of Nature,game,12/13/2016,AYstd,AYstd,low_1000
Cinderella Phenomenon,game,4/5/2017,Dicesuki,Dicesuki,low_1000
Nekojishi,game,11/12/2017,Team Nekojishi,Orange Juice Dog,low_1000
THE KING OF FIGHTERS XIV STEAM EDITION,game,6/15/2017,SNK CORPORATION,SNK CORPORATION,low_1000
SteamWorld Dig 2,game,9/22/2017,Image & Form Games,Image & Form Games,low_1000
Steel Division: Normandy 44,game,5/23/2017,Eugen Systems,Paradox Interactive,low_1000
Amnesia: The Dark Descent,game,9/8/2010,Frictional Games,Frictional Games,low_1000
Space Wars: Interstellar Empires,game,12/8/2017,Desert Owl Games LLC,ToHeroes Game Studios LLC,low_1000
Unalive,game,1/5/2017,RandomSpin,RandomSpin,low_1000
Fight or Die,game,1/6/2017,Vyacheslav Shilikhin,Vyacheslav Shilikhin,low_1000
ICED,game,5/15/2017,Anea_Duo_Dev,Anea_Duo_Dev,low_1000
Mighty Party,game,3/30/2017,Panoramik Inc,Panoramik Inc,low_1000
NeverEnd,game,2/16/2017,Duck,Sometimes You,low_1000
Tomb Joe,game,4/23/2017,Amaterasu Software,Amaterasu Software,low_1000
Other worlds India,game,1/20/2017,SharF Co,SharF Co,low_1000
Tropico 4,game,9/1/2011,Haemimont Games,Kalypso Media Digital,low_1000
Jagged Alliance - Back in Action,game,2/8/2012,Coreplay GmbH,THQ Nordic,low_1000
Fluffy,game,1/11/2017,Blaiz Entertainment,Blaiz Entertainment,low_1000
LEGO City Undercover,game,4/4/2017,Travellers Tales,TT Games,low_1000
GORN,game,7/10/2017,Free Lives,Devolver Digital,low_1000
Alpacapaca Dash,game,1/23/2017,Synnergy Circle Games,Synnergy Circle Games,low_1000
The Last Hope Trump vs Mafia,game,1/20/2017,Atomic Fabrik,Atomic Fabrik,low_1000
Langoth,game,2/27/2017,Atum Software,Sometimes You,low_1000
Metal Waltz,game,5/2/2017,Shanghai JingCai Computer Software Development Co Ltd,Shanghai JingCai Computer Software Development Co,low_1000
The Astral Hero,game,5/5/2017,Ardi Studio,Ardi Studio,low_1000
Jumping Tank,game,1/20/2017,Maximusez,Maximusez,low_1000
We Were Here,game,2/3/2017,Total Mayhem Games,Total Mayhem Games,low_1000
Passpartout: The Starving Artist,game,6/6/2017,Flamebait Games,Flamebait Games,low_1000
Sonic Mania,game,8/29/2017,Christian Whitehead,SEGA,low_1000
GameMaker Studio 2 Desktop,game,3/8/2017,YoYo Games Ltd,YoYo Games Ltd,low_1000
Finnish Roller,game,1/31/2017,Tero Lunkka,Tero Lunkka,low_1000
Fergus The Fly,game,,Maximusez,Maximusez,low_1000
Harvest Moon: Light of Hope,game,11/14/2017,TABOT,Natsume Inc,low_1000
BlazBlue Centralfiction,game,4/25/2017,Arc System Works,H2 Interactive Co,low_1000
Tokyo Xanadu eX+,game,12/8/2017,Nihon Falcom,Aksys Games,low_1000
HELLION,game,2/24/2017,Zero Gravity,Zero Gravity,low_1000
Learn to Fly 3,game,5/12/2017,Light Bringer Games inc,Light Bringer Games inc,low_1000
Red Death,game,3/23/2017,Panda Indie Studio,New Reality Games,low_1000
Sniper Fury,game,6/13/2017,Gameloft,Gameloft,low_1000
Animation Throwdown: The Quest for Cards,game,5/5/2017,Synapse Games,Kongregate,low_1000
Dungeon Painter Studio,game,2/26/2017,Pyromancerscom,Pyromancerscom,low_1000
Cat Quest,game,8/8/2017,The Gentlebros,PQube Limited,low_1000
Tap Adventure: Time Travel,game,3/3/2017,Avallon Alliance,Panoramik inc,low_1000
REVENGE: First Blood,game,2/24/2017,Vyacheslav Shilikhin,Vyacheslav Shilikhin,low_1000
Clone Drone in the Danger Zone,game,3/16/2017,Doborog Games,Doborog Games,low_1000
West of Loathing,game,8/10/2017,Asymmetric,Asymmetric,low_1000
Live Wallpaper Master,game,12/7/2017,DesktopPaints LLC,DesktopPaints LLC,low_1000
SimAirport,game,3/6/2017,LVGameDev LLC,LVGameDev LLC,low_1000
Green Cat,game,5/26/2017,Anatoliy Loginovskikh,Atriagames,low_1000
STAR WARS Republic Commando,game,7/8/2009,LucasArts,LucasArts,low_1000
MakeThatMoney,game,3/22/2017,EcoGames,EcoGames,low_1000
Star Trek Timelines,game,7/12/2017,Disruptor Beam Inc,Disruptor Beam Inc,low_1000
Project of the Developer,game,4/28/2017,AL-GAME,AL-GAME,low_1000
STAR WARS Jedi Knight: Jedi Academy,game,9/16/2009,Raven Software,LucasArts,low_1000
NEKOPARA Vol. 3,game,5/25/2017,NEKO WORKs,Sekai Project,low_1000
STAR WARS Jedi Knight II: Jedi Outcast,game,9/16/2009,Raven Software,LucasArts,low_1000
Tank Force,game,10/23/2017,Extreme Developers,Extreme Developers,low_1000
Gump Runner,game,3/9/2017,ArteG,Lestyo,low_1000
Shadows 2: Perfidia,game,3/24/2017,MrCiastku,IceTorch Interactive,low_1000
